DataSet,Title,Organism,Platform,Series,samples
GDS5084,E2A transcription factor deficiency effect on DN2 thymocyte,Mus musculus,GPL1261,GSE43224,6
GDS5173,G-protein coupled receptor kinase 3 expression effect on prostate cancer cell line,Homo sapiens,GPL6883,GSE36022,6
GDS5398,RANKL effect on osteoclastogenic cell line,Mus musculus,GPL6246,GSE43811,6
GDS4771,High fat diet effect on liver depleted of promyelocytic leukemia gene,Mus musculus,GPL11180,GSE39220,12
GDS4408,Nitric oxide generator DETA-NONOate effect on in vitro neuronal injury model: time course,Mus musculus,GPL1261,GSE22087,14
GDS5079,Ubiquitin-specific protease 2 deficiency effect on the kidney,Mus musculus,GPL6246,GSE43517,4
GDS4379,Colorectal cancer tumors,Homo sapiens,GPL570,GSE35896,62
GDS4808,Glioblastoma cells response to Focal Adhesion Kinase Inhibitor Y15 and Temozolomide,Homo sapiens,GPL10558,GSE43452,12
GDS4363,CD4CD45Rbhi T-cell transfer colitis model: time course,Mus musculus,GPL1261,GSE27302,16
GDS5154,FAT1 depletion effect on astrocyte and glioma cell lines,Homo sapiens,GPL571,GSE40583,18
GDS4376,Ts65Dn aneuploidy model of Down syndrome: skeletal muscle,Mus musculus,GPL6246,GSE39159,8
GDS5178,Pre-B cell colony enhancing factor depletion effect on pulmonary microvascular endothelial cell,Homo sapiens,GPL570,GSE34512,6
GDS4756,Bone marrow microenvironment effect on imatinib-treated chronic myeloid leukemia CD34+ cells,Homo sapiens,GPL6244,GSE43225,12
GDS4565,Heme-responsive gene-2 deficient mutant,Caenorhabditis elegans,GPL200,GSE34471,12
GDS4416,Bacterial cell wall component MDP effect on HEK293 cells expressing Crohn's disease-associated NOD2 variant L1007fsinsC receptor: time course,Homo sapiens,GPL570,GSE22611,27
GDS5006,Dietary probiotic Lactobacillus effect on N2 wildtype strain: adult developmental stage,Caenorhabditis elegans,GPL200,GSE42192,9
GDS4566,Dietary probiotic Lactobacillus effect on N2 wildtype strain: young developmental stage,Caenorhabditis elegans,GPL200,GSE42192,9
GDS4428,Niemann-Pick Type C disease spleen: time course,Mus musculus,GPL1261,GSE39621,12
GDS4427,Niemann-Pick Type C disease liver: time course,Mus musculus,GPL1261,GSE39621,12
GDS4394,Niemann-Pick Type C disease brain: time course,Mus musculus,GPL1261,GSE39621,27
GDS4395,External beam radiation therapy effect on prostate cancer patients: peripheral white blood cells,Homo sapiens,GPL570,GSE30174,80
GDS4357,Host response to uninfected Ixodes scapularis nymphal tick attachment: time course,Mus musculus,GPL8321,GSE39100,15
GDS5446,Phf19 depletion effect on embryonic carcinoma cell line,Mus musculus,GPL1261,GSE42463,4
GDS4329,Pancreatic ductal adenocarcinoma surgery patients: circulating tumor cells,Homo sapiens,GPL570,GSE18670,24
GDS4330,Long-term octreotide treatment of neuroendocrine tumor cell line CNDT2.5,Homo sapiens,GPL6244,GSE24358,8
GDS4567,Filarial nematode asparaginyl-tRNA synthetase effect on immature dendritic cells,Homo sapiens,GPL570,GSE39999,6
GDS4544,G-protein-coupled receptor kinase 2 inhibition effect on HEK cells in vitro and in vivo,Homo sapiens,GPL570,GSE42771,12
GDS4364,Natural and induced Foxp3+ regulatory T cells and Foxp3-deficient induced regulatory T cells,Mus musculus,GPL1261,GSE35543,6
GDS5161,Bcl6 deficiency effect on regulatory T cell,Mus musculus,GPL6246,GSE40493,8
GDS4568,Copper sulfate stress effect on kgb-1 mutants,Caenorhabditis elegans,GPL200,GSE42703,4
GDS4981,Airway epithelial cell response to IL-13 in vitro,Homo sapiens,GPL6947,GSE37693,8
GDS4398,Activated diabetogenic CD8+ G9C8 clone cells and transgenic NOD/LtJ CD8 T cells,Mus musculus,GPL1261,GSE31726,5
GDS4387,Hepatitis B virus (HBV)-associated acute liver failure (ALF) patients: liver explant,Homo sapiens,GPL570,GSE38941,27
GDS4328,"Cardiac transcription factors Tbx5, Gata4 and Myocardin effect on 10T1/2-tTA fibroblast cell line",Mus musculus,GPL1261,GSE27329,24
GDS4669,Central nervous system cell types derived from UNC-93B-deficient induced pluripotent stem cells,Homo sapiens,GPL6884,GSE40593,13
GDS4538,Central nervous system cell types derived from embryonic stem cell line H9,Homo sapiens,GPL6884,GSE40593,11
GDS4441,Runt homology domain expression effect on hematopoietic stem cells,Mus musculus,GPL8321,GSE40155,9
GDS4327,Human hepatocytes from xenogeneic host livers,Homo sapiens...,GPL570,GSE33846,32
GDS4326,Head muscle progenitors and trunk muscle progenitors: developmental time course,Mus musculus,GPL8321,GSE42389,12
GDS4353,Cerebral Palsy: skeletal muscle biopsies,Homo sapiens,GPL571,GSE31243,40
GDS5112,Heart response to Trypanosoma cruzi infection,Mus musculus,GPL8321,GSE41089,6
GDS4331,Raf kinase inhibitor 1 knockout effect on C57BL/6 pancreas,Mus musculus,GPL1261,GSE31150,6
GDS4597,In vitro model for inflammatory dendritic cells,Homo sapiens,GPL571,GSE42305,15
GDS4553,Measles virus brain infection model: right cerebral hemisphere,Mus musculus,GPL1261,GSE42264,26
GDS4480,Isolates from chronically-infected burn wound and cystic fibrosis patients,Pseudomonas aeruginosa,GPL84,GSE25945,26
GDS4325,Vesicular acetylcholine transporter knockdown effect on heart,Mus musculus,GPL6246,GSE37458,6
GDS4365,Intestinal mucosa response to active and inactive ulcerative colitis: colon biopsies,Homo sapiens,GPL570,GSE38713,43
GDS5086,Dendritic cell response to Leishmania major infection: time course,Homo sapiens,GPL570,GSE42088,15
GDS4454,Fibroblast growth factor receptor 3 depletion effect on bladder cancer cell line RT112,Homo sapiens,GPL570,GSE41035,24
GDS4464,Primary central nervous system lymphoma patients: brain tumor,Homo sapiens,GPL570,GSE34771,34
GDS4399,Polycystic ovary syndrome: granulosa cells,Homo sapiens,GPL570,GSE34526,10
GDS4324,Dopamine β-hydroxylase knockout effect on embryonic heart,Mus musculus,GPL8321,GSE33906,8
GDS4510,rd1 model of retinal degeneration: time course,Mus musculus,GPL339,GSE41821,32
GDS4495,SmoA1 and SmoA2 models of medulloblastoma: postnatal day 5 brain,Mus musculus,GPL9734,GSE34593,9
GDS4323,Low-dose ionizing radiation effect on breast tissue: two inbred strains,Mus musculus,GPL8759,GSE40066,51
GDS4665,HeLa cell line response to chemotherapeutic Casiopeinas,Homo sapiens,GPL570,GSE41827,6
GDS4598,Keratinocyte response to endogenous microRNA-31 inhibition,Homo sapiens,GPL11532,GSE41905,6
GDS4322,Small molecule KY02111 effect on induced pluripotent stem cell line IMR90-1: time course,Homo sapiens,GPL6244,GSE33622,5
GDS4469,Sporadic medulloblastomas,Homo sapiens,GPL6244,GSE41842,19
GDS4418,Allergic asthma: bronchial biopsies,Homo sapiens,GPL96,GSE41649,8
GDS4401,H9 hESC-derived neural stem cells harboring pathogenic leucine-rich repeat kinase 2 mutation,Homo sapiens,GPL571,GSE36321,9
GDS4400,Fibroblast-derived induced pluripotent stem cells harboring pathogenic leucine-rich repeat kinase 2 mutation,Homo sapiens,GPL571,GSE33298,14
GDS4470,Glioblastoma brain tumors,Homo sapiens,GPL570,GSE36245,46
GDS5165,PA2449 deficiency effect on Pseudomonas aeruginosa PAO1,Pseudomonas aeruginosa...,GPL84,GSE39044,8
GDS5087,Transcriptional regulator steroid receptor coactivator-2 deficiency effect on the heart,Mus musculus,GPL1261,GSE41558,8
GDS4851,TRPV4 depletion effect on adipocyte cell line,Mus musculus,GPL8321,GSE40280,4
GDS4848,Chloroprene effect on rat lung: dose response and time course,Rattus norvegicus,GPL1355,GSE40795,50
GDS4847,Chloroprene effect on mouse lung: dose response and time course,Mus musculus,GPL1261,GSE40795,50
GDS5094,Stearoyl-CoA desaturase 1 inhibition effect on clear cell renal cell carcinoma cell lines,Homo sapiens,GPL570,GSE41485,8
GDS4402,Cell lines derived from metastatic lung adenocarcinoma model,Mus musculus,GPL8321,GSE40222,12
GDS4788,H3K4me3 histone demethylase Fbxl10 overexpression effect on fibroblast cell line,Mus musculus,GPL6246,GSE34691,6
GDS4588,APCΔ468 model of polyposis: regulatory T cells from various organs,Mus musculus,GPL6246,GSE41229,44
GDS4547,Effect of ischemia and tissue procurement conditions on resected renal clear cell carcinoma,Homo sapiens,GPL570,GSE41137,140
GDS5498,Arsenic effect on lung epithelial cell line,Homo sapiens,GPL6480,GSE33520,7
GDS5095,Transciption factor Meis1 deficiency effect on lineage-negative bone marrow cells,Mus musculus,GPL6246,GSE41133,4
GDS4846,MED1 overexpression effect on prostate cancer cell line,Homo sapiens,GPL571,GSE41150,4
GDS4590,Maternal diabetes effect on E10.5 embryos,Mus musculus,GPL1261,GSE41095,6
GDS4599,ZNF750 silencing effect on differentiated keratinocytes,Homo sapiens,GPL6244,GSE38039,6
GDS4377,CD43+/41+/235+ iPSC-derived progenitor cells with germ-line trisomy 21,Homo sapiens,GPL6244,GSE35561,6
GDS4403,Endothelial progenitor cells from cord blood and adult peripheral blood,Homo sapiens,GPL570,GSE39763,4
GDS4332,Interleukin 1β effect on insulinoma cell line overexpressing pancreatic duodenum homeobox 1: time course,Rattus norvegicus,GPL1355,GSE40642,56
GDS4404,Facioscapulohumeral muscular dystrophy: bicep and deltoid muscles,Homo sapiens,GPL6244,GSE36398,50
GDS4333,Interleukin-2 null effect on the regulatory T cell-deficient scurfy model of autoimmune disease: CD4+ T-cells,Mus musculus,GPL1261,GSE23398,7
GDS4700,Colon cancer cell lines with acquired resistance to BRAF inhibitor,Homo sapiens,GPL570,GSE34299,4
GDS4507,Endoplasmic reticulum thiol oxidase deficiency effect on embryonic fibroblasts,Mus musculus,GPL6246,GSE39492,9
GDS4419,Alveolar macrophage response to bacterial endotoxin lipopolysaccharide exposure in vivo,Homo sapiens,GPL570,GSE40885,14
GDS4569,Foreskin fibroblast response to Toxoplasma gondii RH type 1 (ROP5) mutant infection,Homo sapiens,GPL571,GSE32104,6
GDS5113,Transcription factor Grainyhead-like 2 depletion effect on lung epithelial cell line,Mus musculus,GPL6246,GSE40729,5
GDS4321,Escherichia coli O157:H7 response to cinnamaldehyde: time course,Escherichia coli O157:H7...,GPL3154,GSE40693,8
GDS4406,Primary mammary epithelial cells response to heat-inactivated Escherichia coli or Staphylococcus aureus: time course,Bos taurus,GPL2112,GSE25413,30
GDS5449,Mek1 Mek2 double mutation effect on the embryonic brain dorsal cortex,Mus musculus,GPL6246,GSE40675,4
GDS5465,UTX deficiency effect on embryonic stem cells,Mus musculus,GPL1261,GSE35415,4
GDS4351,Inbred lines with different prion disease incubation times: whole brain,Mus musculus,GPL1261,GSE38205,25
GDS4255,Cystic fibrosis transmembrane conductance regulator expression in airway epithelial cells,Homo sapiens,GPL6244,GSE38956,12
GDS4857,Obstructive sleep apnea: visceral fat,Homo sapiens,GPL6244,GSE38792,18
GDS4506,Liver response to obesity and fasting,Mus musculus,GPL1261,GSE39375,10
GDS4482,Sonic Hedgehog inhibitor cyclopamine effect on co-culture of mesenchymal stem cells and umbilical vein endothelial cells,Homo sapiens,GPL10526,GSE22293,6
GDS4366,Metalloprotease ADAMTS-12 deficiency effect on DSS-induced colitis: distal colon,Mus musculus,GPL1261,GSE40529,4
GDS4359,Co-expression of tyrosine kinase receptors HER2 and HER3 in mammary epithelial cells MCF10A grown in three-dimensional cultures,Homo sapiens,GPL6244,GSE37009,8
GDS4850,Acute cold exposure effect on brown adipose tissue,Mus musculus,GPL6103,GSE40486,4
GDS4849,Acute cold exposure effect on skeletal muscle,Mus musculus,GPL6103,GSE40486,4
GDS4509,Progeroid and revertant phenotypes in primary dermal fibroblast cell line GM00038,Homo sapiens,GPL570,GSE40404,7
GDS4320,Pancreatic-specific PPAR-beta deletion effect on pancreatic beta-cells,Mus musculus,GPL1261,GSE16048,6
GDS5164,GATA-3 deficiency effect on regulatory T cell,Mus musculus,GPL8321,GSE39864,6
GDS4974,High occupational exposure to nickel: peripheral blood mononuclear cell,Homo sapiens,GPL6244,GSE40392,18
GDS4542,Chronic suppression of phosphodiesterase 10A effect on striatum and hippocampus,Mus musculus,GPL1261,GSE40377,42
GDS4508,Histone methyltransferase ESET knockout effect on embryonic dorsal telencephalon,Mus musculus,GPL1261,GSE40296,6
GDS4876,Pulmonary surfactant protein-C deficiency effect on alveolar type II epithelial cell,Mus musculus,GPL1261,GSE35989,4
GDS4334,B7x effect on CD8 T cell-mediated diabetes model AI4αβ: pancreatic CD8 T cells,Mus musculus,GPL6246,GSE40225,6
GDS4499,Larval brains and imaginal discs with centrosome loss or amplification,Drosophila melanogaster,GPL1322,GSE35240,15
GDS5464,NFATc1 deficiency effect on osteoclast differentiation in vitro,Mus musculus,GPL8321,GSE37219,4
GDS5172,Small-molecule inhibition of BRDT effect on testis,Mus musculus,GPL6887,GSE37894,6
GDS5497,Methylphenidate effect on substantia nigra: dose response,Mus musculus,GPL11180,GSE33619,9
GDS4487,Ras/MEK inhibition effect on IFN-alpha treated cancer cell line: time course,Homo sapiens,GPL6244,GSE31019,30
GDS4388,Leukemia inhibitory factor effect on Sin3a-silenced MCF7 breast cancer cell line,Homo sapiens,GPL570,GSE35696,11
GDS4367,Azoxymethane/dextran sulfate sodium-induced ulcerative colitis-associated colorectal cancer model: time course,Mus musculus,GPL1261,GSE31106,18
GDS4349,E-cadherin/CDH1 intron2 protein isoform overexpression in Mkn28 gastric tubular adenocarcinoma cell line,Homo sapiens,GPL570,GSE32540,9
GDS4335,Sox9+ pancreatic cells: developmental time course,Mus musculus,GPL6246,GSE34060,15
GDS4358,Two types of HIV-associated neurocognitive impairment: brain regions,Homo sapiens,GPL570,GSE35864,72
GDS5177,Kruppel-like factor 9 overexpression effect on keratinocyte: time course,Homo sapiens,GPL6480,GSE36014,6
GDS5176,Epidermis at various time points during the day,Homo sapiens,GPL6480,GSE35635,57
GDS4600,Psoriasis vulgaris ACCEPT cohort: paired lesional and non-lesional skin,Homo sapiens,GPL570,GSE30999,170
GDS4429,Fetal brain response to maternal immune activation induced by lipopolysaccharide,Rattus norvegicus,GPL6247,GSE34058,19
GDS5454,Epidermal keratinocyte differentiation in vitro,Homo sapiens,GPL6244,GSE38628,14
GDS5453,GRHL3-depleted epidermal keratinocyte response to the induction of differentiation in vitro,Homo sapiens,GPL6244,GSE37049,6
GDS5452,MLL2-depleted epidermal keratinocyte response to the induction of differentiation in vitro,Homo sapiens,GPL6244,GSE37570,4
GDS5021,Placenta response to maternal choline intake throughout the third trimester of pregnancy: dose response,Homo sapiens,GPL6480,GSE39290,12
GDS4570,Mitochondrial stress effect on ATFS-1 mutants,Caenorhabditis elegans,GPL200,GSE38196,12
GDS4804,Desmin deficiency effect on young and adult skeletal muscles,Mus musculus,GPL8321,GSE34388,19
GDS4319,Conventionalization of germ-free C57BL/6 males: time course,Mus musculus,GPL11533,GSE32513,144
GDS4237,Rhesus macaque type-I interferon agonist effect on peripheral whole blood of SIV-infected Sooty mangabeys: time course,Cercocebus atys...,GPL3535,GSE35460,47
GDS5183,Adaptor protein ASC deficiency effect on bone marrow dendritic cells,Mus musculus,GPL11180,GSE30769,6
GDS4336,Pancreatic ductal adenocarcinoma tumor and adjacent non-tumor tissue,Homo sapiens,GPL6244,GSE28735,90
GDS4471,Medulloblastomas in children,Homo sapiens,GPL570,GSE37418,76
GDS4337,Type 2 diabetic and hyperglycemic pancreatic islets,Homo sapiens,GPL6244,GSE38642,63
GDS4198,Australian patient cohort: gastric adenocarcinoma,Homo sapiens,GPL570,GSE35809,70
GDS4472,Transcription factor OTX2 oncogene silencing effect on D425 medulloblastoma cell line: time course,Homo sapiens,GPL570,GSE22875,24
GDS4380,High and low chromosomal instability phenotypes in stage II and III colorectal cancers,Homo sapiens,GPL570,GSE30540,35
GDS4318,Single nucleotide polymorphism rs1333049 from the 9p21.3 coronary artery disease risk locus: normal heart,Homo sapiens,GPL6244,GSE22253,108
GDS5184,Focal adhesion kinase deficient fibroblast response to endothelin-1,Mus musculus,GPL1261,GSE30356,4
GDS5462,Ada3 deficiency effect on embryonic fibroblasts,Mus musculus,GPL1261,GSE37542,4
GDS4979,Lapatinib effect on lapatinib-resistant ErbB2-positive cell line: dose response,Homo sapiens,GPL6947,GSE38376,18
GDS4856,Transcription factor Yin Yang 1 deficiency effect on the skeletal muscle,Mus musculus,GPL8321,GSE39009,7
GDS4338,Cyclooxygenase-2 overexpression or deletion effect on the K-ras/Pten pancreatic ductal adenocarcinoma murine model,Mus musculus,GPL1261,GSE38988,8
GDS4368,DSS-induced colitis model response to L-arginine supplementation,Mus musculus,GPL6246,GSE34874,12
GDS4218,Multiple sclerosis: brain lesions,Homo sapiens,GPL570,GSE38010,7
GDS4548,Probiotic effect on inflamed colonic explants,Homo sapiens,GPL570,GSE23630,18
GDS4317,Iroquois homeobox Irx3 and Irx5 deletion effect on embryonic heart,Mus musculus,GPL6246,GSE38826,14
GDS4504,Dicer1 deletion effect on bone marrow granulocyte-macrophage progenitors,Mus musculus,GPL1261,GSE35844,9
GDS4339,Dietary saturated fat effect on small intestine,Mus musculus,GPL1261,GSE18586,9
GDS4316,"Heart, kidney and lung during juvenile growth",Mus musculus,GPL1261,GSE38754,40
GDS4407,Biallelic CEBPA-mutated acute myeloid leukemia with multilineage dysplasia: peripheral blood mononuclear cells,Homo sapiens,GPL570,GSE33223,30
GDS4389,Alcoholic hepatitis,Homo sapiens,GPL570,GSE28619,22
GDS4410,Infantile-onset Pompe disease: biceps,Homo sapiens,GPL570,GSE38680,19
GDS4409,Infantile-onset Pompe response to recombinant human lysosomal acid alpha-glucosidase (rhGAA) treatment: quadriceps,Homo sapiens,GPL570,GSE38680,39
GDS4457,Strain PAO1 response to natural quorum sensing inhibitor protoanemonin,Pseudomonas aeruginosa,GPL84,GSE27674,4
GDS5525,miR-205 silencing effect on prostate epithelial cell line,Homo sapiens,GPL6947,GSE29782,6
GDS4282,Clear-cell renal cell carcinoma tumors and tumorgrafts deficient for tumor suppressor BAP1 or PBRM1,Homo sapiens,GPL570,GSE36895,76
GDS4340,Non-obese diabetic (NOD) and disease-resistant NOD.NOR-Chr4 models: splenic B cells,Mus musculus,GPL1261,GSE37294,11
GDS4381,Patient-derived colorectal cancer explants,Homo sapiens,GPL570,GSE35144,64
GDS4503,Gonadal development: ovaries and testes,Mus musculus,GPL1261,GSE35734,6
GDS4473,Glioblastoma multiforme and oligodendroglial glioma: neurospheres,Homo sapiens,GPL570,GSE31545,14
GDS4131,Embryonic cranial neural crest and neural plate,Gallus gallus,GPL3213,GSE38381,8
GDS4591,Microchimeric fetal cells isolated from maternal lung during late pregnancy,Mus musculus,GPL1261,GSE38188,7
GDS4610,DNA damage effect on memory and non-memory cells,Homo sapiens,GPL6244,GSE38189,8
GDS4582,Lung response to infection with Staphylococcus aureus Hla-deficient isogenic mutant: time course,Mus musculus,GPL1261,GSE38053,18
GDS4536,Kaposi's sarcoma associated herpesvirus protein K13 effect on primary effusion lymphoma-derived BCBL1 cells,Homo sapiens,GPL570,GSE37355,4
GDS4474,"U373MG glioblastoma cell line response to 3 anti-cancer 1,2,3,4-tetrahydroisoquinoline alkaloids",Homo sapiens,GPL6244,GSE36619,6
GDS4659,In vitro platelet RNA transfer model,Homo sapiens,GPL570,GSE38027,4
GDS4563,Passive loading effect on gastrocnemius muscle of intensive care unit model: time course,Rattus norvegicus,GPL6247,GSE37944,46
GDS4980,Light-induced retinal damage,Mus musculus,GPL6246,GSE37773,16
GDS4517,Model for the manic pole of bipolar disorder: hippocampus,Mus musculus,GPL6246,GSE29417,12
GDS4341,Transcription factor MIST1-null and MIST1-induced pancreas,Mus musculus,GPL6246,GSE34232,12
GDS4814,Ovarian cancer xenograft tumor response to trastuzumab and pertuzumab,Homo sapiens,GPL6947,GSE31432,23
GDS4342,Gamma secretase inhibitor MRK-003 effect on pancreatic ductal adenocarcinoma tumor xenografts,Homo sapiens,GPL570,GSE37645,18
GDS4826,ARID1A depletion effect on ovarian surface epithelial cell lines,Homo sapiens,GPL10558,GSE37684,4
GDS4505,Ascorbic acid effect on Mc3T3 osteoblasts,Mus musculus,GPL1261,GSE37676,6
GDS4420,Stem cell factor effect on bone marrow-derived mast cells,Mus musculus,GPL1261,GSE35332,12
GDS5179,Cadmium effect on liver cell line: dose response,Homo sapiens,GPL4133,GSE31286,9
GDS5499,Pulmonary hypertensions: PBMCs,Homo sapiens,GPL6947,GSE33463,140
GDS4458,Anti-IL-17 monclonal antibody ixekizumab effect on chronic psoriasis,Homo sapiens,GPL571,GSE31652,30
GDS4343,Xenograft tumors generated from iKras p53 null pancreatic ductal adenocarcinoma cell lines,Mus musculus,GPL1261,GSE32277,33
GDS4236,Rapamycin-resistant diffuse large B-cell lymphoma cell lines,Homo sapiens,GPL6244,GSE27255,14
GDS4235,Programmed Death 1 antibody effect on pathogenic Simian Immunodeficiency Virus infection: peripheral blood mononuclear cells,Macaca mulatta,GPL3535,GSE33933,10
GDS4583,Leukemia inhibitory factor neutralization effect on E. coli pneumonia lung,Mus musculus,GPL11078,GSE34901,9
GDS4546,Metabolic stress effect on MCAD-deficient mutants: liver,Mus musculus,GPL1261,GSE37546,20
GDS4988,Secreted frizzled-related protein 5 mutation effect on gonadal white adipose tissue,Mus musculus,GPL6246,GSE37514,15
GDS4315,One-Twenty-Two-1 knockout effect on hematopoietic stem cells,Mus musculus,GPL8321,GSE37047,6
GDS4611,Ionizing radiation effect on p53 mutant third instar larvae wing imaginal discs: time course,Drosophila melanogaster,GPL1322,GSE37404,16
GDS4281,Uveal melanoma,Homo sapiens,GPL570,GSE27831,29
GDS4571,Toxicogenomic response to gold nanoparticle exposure,Caenorhabditis elegans,GPL200,GSE32521,6
GDS4455,RhoGTP dissociation inhibitor 2 effect on UM-UC-3 bladder cancer cells,Homo sapiens,GPL570,GSE35014,4
GDS4345,Quadriceps muscle from cancer patients before and after surgery: sequential biopsies,Homo sapiens,GPL570,GSE34111,30
GDS4243,Host immune response of bacterial infected nematode stimulated with small molecule,Caenorhabditis elegans,GPL200,GSE37266,6
GDS4459,Intraportal tacrolimus flushing effect on liver allograft,Homo sapiens,GPL11209,GSE25338,17
GDS4413,Long-term pioglitazone effect on triple transgenic model of Alzheimer's disease (3xTg-AD): hippocampus,Mus musculus,GPL1261,GSE32536,16
GDS4354,Endogenous Cushing's Syndrome bone biopsies: pre- and post-surgery,Homo sapiens,GPL570,GSE30159,18
GDS4494,Segmental monosomy,Drosophila melanogaster,GPL1322,GSE34400,44
GDS4825,Monocyte response to influenza A infection ex vivo,Homo sapiens,GPL6884,GSE35473,6
GDS4475,Extracellular matrix protein cysteine rich 61 (CCN1) effect on LN229 glioma cells,Homo sapiens,GPL570,GSE29384,6
GDS4621,Mutated anaplastic lymphoma kinase-driven neuroblastoma model,Mus musculus,GPL1261,GSE32386,13
GDS5234,Dicer deficiency effect on preadipocytes,Mus musculus,GPL1261,GSE24683,8
GDS4484,Cerebellar neuronal cell response to thyroid hormone: time course,Mus musculus,GPL1261,GSE24793,8
GDS4350,Barrett esophagus: endoscopic biopsies,Homo sapiens,GPL6244,GSE34619,28
GDS4344,Diet-induced model of obesity: mesenteric adipose tissue surrounding pancreas,Rattus norvegicus,GPL1355,GSE36935,5
GDS4248,Cystic fibrosis: trachea,Sus scrofa,GPL3533,GSE36906,11
GDS4990,Diabetic db/db heart response to rosiglitazone,Mus musculus,GPL4134,GSE36875,15
GDS4346,Gli transcriptional repressor Gli3T effect on epithelioid carcinoma cell line Panc-1,Homo sapiens,GPL6244,GSE36855,6
GDS4991,Glyoxalase 1 overexpression effect on the brain,Mus musculus,GPL6246,GSE36819,10
GDS4609,Combined effects of in utero and adult second-hand smoke exposure on adult lungs,Mus musculus,GPL1261,GSE36810,16
GDS4195,Systemic lupus erythematosus and arthritides: synovial biopsies,Homo sapiens,GPL570,GSE36700,25
GDS4314,Diabetic ischemic heart failure patients: non-infarcted left ventricle,Homo sapiens,GPL6244,GSE26887,24
GDS4397,5-aza-2’-deoxycytidine effect on colorectal cancer cell lines,Homo sapiens,GPL570,GSE32323,10
GDS4382,Colorectal cancer tumors,Homo sapiens,GPL570,GSE32323,34
GDS4421,Dendritic cell responses to proinflammatory TNF cytokine or pathogenic Trypanosoma brucei antigens,Mus musculus,GPL1261,GSE28231,5
GDS4813,Melanoma cell line response to the depletion of various transcription factors and signaling proteins,Homo sapiens,GPL570,GSE31534,51
GDS4476,Parkin expression in parkin-deficient U87MG glioma cells,Homo sapiens,GPL6244,GSE29494,21
GDS5467,Ezrin inactive mutant overexpression effect on osteosarcoma cell line,Mus musculus,GPL1261,GSE33897,4
GDS5230,miR-193b overexpression effect on pancreatic cell line,Homo sapiens,GPL6480,GSE25215,4
GDS4355,Chlamydia muridarum genital tract infection model: CD4 T cells,Mus musculus,GPL6246,GSE32128,16
GDS4306,DNA methyltransferase Dnmt1 knockout effect on leukemia stem cells and bulk leukemia cells,Mus musculus,GPL8321,GSE31626,8
GDS4313,Foregut endoderm and combined heart mesoderm and head tissue from E8.5 embryos,Mus musculus,GPL1261,GSE36453,4
GDS4422,Interleukin-25-induced pulmonary inflammation model: Type 2 myeloid cells and other inflammatory subsets,Mus musculus,GPL1261,GSE36392,9
GDS4390,Primary hepatocyte response to interferon-α or interleukin 28B: time course,Homo sapiens,GPL570,GSE31193,15
GDS4859,Prolactinoma,Homo sapiens,GPL8300,GSE36314,7
GDS4601,Primary keratinocyte response to in vitro cytokine exposure,Homo sapiens,GPL570,GSE36287,24
GDS4021,Rosiglitazone effect on PRDM16-deficient inguinal white adipose tissue: stromal-vascular cells,Mus musculus,GPL8321,GSE35011,8
GDS4584,Alveolar type I cells deficient in sterol-response element-binding proteins inhibitor Insig1/2,Mus musculus,GPL1261,GSE31797,6
GDS4559,Childhood cerebral adrenoleukodystrophy: primary dermal fibroblasts,Homo sapiens,GPL570,GSE34308,10
GDS4554,Akt transgenic response to lymphocytic choriomeningitis virus (LCMV) infection: CD8 T cell types,Mus musculus,GPL6246,GSE36168,5
GDS4477,Pediatric glioblastoma brain tumors: histone H3.3 mutations,Homo sapiens,GPL570,GSE34824,27
GDS4451,Childhood cerebral adrenoleukodystrophy patient-specific iPSC model,Homo sapiens,GPL571,GSE34309,18
GDS4254,KinB and RpoN deletion effects on alginate overproduction,Pseudomonas aeruginosa PAO1...,GPL84,GSE35248,6
GDS4253,Lung epithelial cells response to lipopolysaccharide exposure,Rattus norvegicus,GPL85,GSE36174,6
GDS4585,Ozone effect on Toll-like receptor 4-deficient C3H/HeJ lung: time course,Mus musculus,GPL339,GSE20715,24
GDS4125,"Pten-null, K-ras-activated prostate cancer model",Mus musculus,GPL1261,GSE34839,6
GDS4592,Antiphospholipid antibody effect on first-trimester placental explants,Homo sapiens,GPL570,GSE36083,6
GDS4305,Glycogen synthase kinase 3 α knockdown in acute myeloid leukemia cell lines,Homo sapiens,GPL3921,GSE35200,44
GDS4009,Half-udder model response to milking frequency and timing of mammary biopsies,Bos taurus,GPL2112,GSE27380,14
GDS4304,ATP effect on acute myeloid leukemia lymphoblasts,Homo sapiens,GPL570,GSE30903,24
GDS4383,"Saracatinib-sensitive versus -resistant, PIK3CA mutant colorectal cancer xenografts",Homo sapiens,GPL6244,GSE36006,4
GDS4008,Myelomatous bone marrow cultures: contact versus contactless conditions,Homo sapiens,GPL6244,GSE36036,4
GDS4007,Myelomatous bone marrow samples after aspiration: time course,Homo sapiens,GPL6244,GSE36036,26
GDS4877,Ovarian cancer cell line response to the anticancer drug NSC319726,Homo sapiens,GPL570,GSE35972,6
GDS4830,GPR120-deficient liver response to a high fat diet,Mus musculus,GPL1261,GSE32095,12
GDS4811,GPR120-deficient white adipose tissue response to a high fat diet,Mus musculus,GPL1261,GSE32095,12
GDS5218,Resistance exercise effect on skeletal muscles of young and old adults,Homo sapiens,GPL570,GSE28422,110
GDS5217,Resistance exercise effect on MHC I and MHC IIa muscle fibers of young and old women,Homo sapiens,GPL570,GSE28392,70
